Session Number,Metric,Value
1.0,min,1.9525534563744853
2.0,min,5.539325902138257
3.0,min,7.857277200150181
1.0,max,124.72716271237152
2.0,max,143.42569670040618
3.0,max,126.68505917132651
1.0,mean,53.427595979571656
2.0,mean,45.66059667352271
3.0,mean,48.92671866021489
1.0,median,50.59518753615757
2.0,median,18.88609743653823
3.0,median,30.36639208483618
1.0,std,26.584937929739006
2.0,std,41.525108574318594
3.0,std,33.11209970446372
