Session Number,Metric,Value
1.0,min,122.74235460000003
2.0,min,107.43536
3.0,min,122.84709230000001
1.0,max,838.1127999999999
2.0,max,851.5061000000001
3.0,max,790.8367646
1.0,mean,415.7655426479894
2.0,mean,359.7335748681071
3.0,mean,334.11047031421083
1.0,median,370.40024114999994
2.0,median,312.73895229999994
3.0,median,307.6743823
1.0,std,212.89715781391016
2.0,std,166.04241299803599
3.0,std,124.92692809136275
