Session Number,Metric,Value
1.0,min,-83.60480000000001
2.0,min,-77.00920000000008
3.0,min,-115.17210000000011
1.0,max,3365.2729999999992
2.0,max,3538.0295999999994
3.0,max,3234.3960000000006
1.0,mean,1030.5538189091524
2.0,mean,1515.2505048120242
3.0,mean,1903.1739035368394
1.0,median,935.5847029999998
2.0,median,1203.4978255
3.0,median,1240.0531799999999
1.0,std,669.2179064722513
2.0,std,876.0886925237155
3.0,std,1132.218997265171
