Session Number,Metric,Value
1.0,min,-142.54490000000004
3.0,min,-58.05659999999998
1.0,max,2084.7821999999996
3.0,max,2230.6069
1.0,mean,631.0111987201041
3.0,mean,532.5075243461121
1.0,median,646.0913449999999
3.0,median,416.4691999999999
1.0,std,334.824944329252
3.0,std,443.2472449744799
